LQ100,Pin Name,Type,Level,ADC,DAC,TIM,I2C,USART,UART,SPI,CAN,USB,SWD,FSMC,SDIO,Othr
49,VSS_1,S,VSS_1,,,,,,,,,,,,,
50,VDD_1,S,VDD_1,,,,,,,,,,,,,
51,PB12,I/O,FT,,,T1_BKIN,I2C2_SMBA,U3_CK,,SPI2_NSS,,,,,,I2S2_WS
52,PB13,I/O,FT,,,T1.1N,,U3_CTS,,SPI2_SCK,,,,,,I2S2_CK
53,PB14,I/O,FT,,,T1.2N,,U3_RTS,,SPI2_MISO,,,,,,
54,PB15,I/O,FT,,,T1.3N,,,,SPI2_MOSI,,,,,,I2S2_SD
55,PD8,I/O,FT,,,,,U3_TX,,,,,,D13,,
56,PD9,I/O,FT,,,,,U3_RX,,,,,,D14,,
57,PD10,I/O,FT,,,,,U3_CK,,,,,,D15,,
58,PD11,I/O,FT,,,,,U3_CTS,,,,,,A16,,
59,PD12,I/O,FT,,,T4.1,,U3_RTS,,,,,,A17,,
60,PD13,I/O,FT,,,T4.2,,,,,,,,A18,,
61,PD14,I/O,FT,,,T4.3,,,,,,,,D0,,
62,PD15,I/O,FT,,,T4.4,,,,,,,,D1,,
63,PC6,I/O,FT,,,T8.1,,,,,,,,,SDIO_D6,"T3.1, I2S2_MCK"
64,PC7,I/O,FT,,,T8.2,,,,,,,,,SDIO_D7,"T3.2, I2S3_MCK"
65,PC8,I/O,FT,,,T8.3,,,,,,,,,SDIO_D0,T3.3
66,PC9,I/O,FT,,,T8.4,,,,,,,,,SDIO_D1,T3.4
67,PA8,I/O,FT,,,T1.1,,U1_CK,,,,,,,,MCO
68,PA9,I/O,FT,,,T1.2,,U1_TX,,,,,,,,
69,PA10,I/O,FT,,,T1.3,,U1_RX,,,,,,,,
70,PA11,I/O,FT,,,T1.4,,U1_CTS,,,CAN_RX,USBDM,,,,
71,PA12,I/O,FT,,,T1_ETR,,U1_RTS,,,CAN_TX,USBDP,,,,
72,PA13,I/O,FT,,,,,,,,,,SWDIO,,,JTMS
73,Not,connected,-,,,,,,,,,,,,,
74,VSS_2,S,VSS_2,,,,,,,,,,,,,
75,VDD_2,S,VDD_2,,,,,,,,,,,,,
76,PA14,I/O,FT,,,,,,,,,,SWCLK,,,JTCK
77,PA15,I/O,FT,,,T2_ETR,,,,SPI3_NSS,,,,,,"JTDI, SPI1_NSS,I2S3_WS"
78,PC10,I/O,FT,,,,,U3_TX,U4_TX,,,,,,SDIO_D2,I2S3_WS
79,PC11,I/O,FT,,,,,U3_RX,U4_RX,,,,,,SDIO_D3,
80,PC12,I/O,FT,,,,,U3_CK,U5_TX,,,,,,SDIO_CK,
81,PD0,I/O,FT,,,,,,,,CAN_RX,,,D2,,OSC_IN
82,PD1,I/O,FT,,,,,,,,CAN_TX,,,D3,,OSC_OUT
83,PD2,I/O,FT,,,T3_ETR,,,U5_RX,,,,,,SDIO_CMD,
84,PD3,I/O,FT,,,,,U2_CTS,,,,,,CLK,,
85,PD4,I/O,FT,,,,,U2_RTS,,,,,,NOE,,
86,PD5,I/O,FT,,,,,U2_TX,,,,,,NEW,,
87,PD6,I/O,FT,,,,,,,,,,,NWAIT,,
88,PD7,I/O,FT,,,,,,,,,,,NE1,,FSMC_NCE2
89,PB3,I/O,FT,,,T2.2,,,,SPI3_SCK,,,,,,"JTDO, I2S3_CK, TraceSWO,SPI1_SCK"
90,PB4,I/O,FT,,,T3.1,,,,SPI3_MISO,,,,,,"NJTRST,SPI1_MISO"
91,PB5,I/O,-,,,T3.2,I2C1_SMBA,,,SPI3_MOSI,,,,,,"I2S3_SD,SPI1_MOSI"
92,PB6,I/O,FT,,,T4.1,I2C1_SCL,U1_TX,,,,,,,,
93,PB7,I/O,FT,,,T4.2,I2C1_SDA,U1_RX,,,,,,NADV,,
94,BOOT0,I,-,,,,,,,,,,,,,Boot0
95,PB8,I/O,FT,,,T4.3,I2C2_SCL,,,,CAN_RX,,,,SDIO_D4,
96,PB9,I/O,FT,,,T4.4,I2C2_SDA,,,,CAN_TX,,,,SDIO_D5,
97,PE0,I/O,FT,,,T4_ETR,,,,,,,,NBL0,,
98,PE1,I/O,FT,,,,,,,,,,,NBL1,,
99,VSS_3,S,VSS_3,,,,,,,,,,,,,
100,VDD_3,S,VDD_3,,,,,,,,,,,,,
